"tweet","time","tweeter","number_of_retweets","number_of_favourites""b'If Iran is able to turn over to the U.S. kidnapped former FBI Agent Robert A. Levinson, who has been missing in Ira\xe2\x80\xa6 https://t.co/NFxR4gJCei'",2019-11-11 02:25:09,realDonaldTrump,18773,75052
"b'I will be interviewed on @foxandfriends this morning at 8:00 A.M. I know that there\xe2\x80\x99s not much to talk about, but w\xe2\x80\xa6 https://t.co/m84uCLYbSw'",2019-11-22 12:13:39,realDonaldTrump,13299,67231
"b'\xe2\x80\x9cFormer FBI Employee Accused of Altering FISA Documents.\xe2\x80\x9d Hello, here we go! @foxandfriends'",2019-11-22 12:05:23,realDonaldTrump,32650,115217
b'RT @EliseStefanik: We just raised 250k in 15 MINUTES. THANK YOU! help us get to 500k TONIGHT go to https://t.co/LDFwTKSRnY to join the figh\xe2\x80\xa6',2019-11-22 05:32:17,realDonaldTrump,18640,0
b'RT @EliseStefanik: Bottom line: Adam Schiff failed to bring ANY evidence for impeaching @realDonaldTrump. WATCH me on @seanhannity tonight\xf0\x9f\x91\x87\xe2\x80\xa6',2019-11-22 05:32:02,realDonaldTrump,13363,0
b'RT @EliseStefanik: Today we heard from Amb. Sondland that @realdonaldtrump told him: \xe2\x80\x9cNo quid pro quo. I want nothing.\xe2\x80\x9d \n\nNo evidence of im\xe2\x80\xa6',2019-11-22 05:31:16,realDonaldTrump,22461,0
"b'RT @GOPChairwoman: Reminder for Democrats crying crocodile tears about a brief halt in aid:\n\nIn 2014, Ukraine\xe2\x80\x99s president went before Congr\xe2\x80\xa6'",2019-11-22 05:29:26,realDonaldTrump,17129,0
b'RT @GOPChairwoman: Public polls are matching what we\xe2\x80\x99ve seen in our internals:\n\n@realDonaldTrump\xe2\x80\x99s approval is the highest it\xe2\x80\x99s been since\xe2\x80\xa6',2019-11-22 05:29:02,realDonaldTrump,16623,0
"b'RT @seanhannity: .@realDonaldTrump: ""It\xe2\x80\x99s a hoax. It\xe2\x80\x99s a disgrace. It\xe2\x80\x99s an embarrassment to our country. Nancy Pelosi has done a terrible j\xe2\x80\xa6'",2019-11-22 05:25:36,realDonaldTrump,8212,0
"b""RT @JesseBWatters: The hoax is OVER. It's done. They tried and failed. They didn't have one witness to testify that President @realdonaldtr\xe2\x80\xa6""",2019-11-22 05:24:58,realDonaldTrump,23018,0
b'RT @GeraldoRivera: Re #CollusionHoax it\xe2\x80\x99s not @realDonaldTrump denying #Russia interfered w our 2016 election. It\xe2\x80\x99s Democrats &amp; house media\xe2\x80\xa6',2019-11-22 05:24:01,realDonaldTrump,11177,0
